timestamp,date,time,time(ms),GSR,GSR_z,SCR,SCR_z,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open,Left_eye_h,Right_eye_h,Left_brow_h1,Right_brow_h1,Left_brow_h2,Right_brow_h2,Between_brows,Left_chin_length,Right_chin_length,Mouth_width,Mouth_inner_height,Mouth_outer_height
602990.0,2025-08-15,15:35:03,1755239703641,2.192696966216129,-1.5663561435244082,0.0,0.0,1415.3846153846152,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609543.0,2025-08-15,15:35:04,1755239704597,2.1977539572494935,-0.13206374976949534,-0.0024660870262098733,-0.5505778251358453,1498.9010989010987,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616096.0,2025-08-15,15:35:04,1755239704654,2.1952878702232836,-0.1442751508106733,-0.002522526199106867,-0.5621562628655812,1210.2564102564102,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622649.0,2025-08-15,15:35:04,1755239704717,2.19270890485128,-0.1570454951229951,-0.0026408059439286813,-0.586421229728364,1142.124542124542,0.16697064,0.012460013,0.20601726,0.0025886903,0.32337978,0.18997093,0.098612696,Neutral,242.0,131.0,315.0,126.0,1.0,1.0,10.0,11.180339887498947,21.095023109728988,24.698178070456937,24.515301344262525,29.698484809834994,15.033296378372908,35.4682957019364,73.49829930005184,52.08646657242167,2.0,27.073972741361768
629202.0,2025-08-15,15:35:05,1755239705242,2.1900062583354263,-0.17042827526289625,-0.0027693109063777754,-0.6127838893724804,1694.5054945054944,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635755.0,2025-08-15,15:35:05,1755239705311,2.1871702830385242,-0.18447126374030184,-0.002903517052183169,-0.6403161408636848,1654.9450549450548,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642308.0,2025-08-15,15:35:05,1755239705365,2.18419922423106,-0.19918314950478364,-0.0030323558185574306,-0.6667472800365242,1315.7509157509155,0.18584114,0.012595979,0.18077199,0.0016743824,0.33917484,0.22614671,0.05379487,Neutral,245.0,132.0,317.0,127.0,1.0,1.0,11.0,11.180339887498947,21.095023109728988,25.80697580112788,24.515301344262525,30.479501308256346,17.11724276862369,35.0,72.27724399837061,52.08646657242167,2.0,27.073972741361768
648861.0,2025-08-15,15:35:05,1755239705532,2.1811055714014094,-0.2145020879621579,-0.0031470689644255145,-0.6902805628264721,1174.3589743589744,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655414.0,2025-08-15,15:35:05,1755239705588,2.177905086302209,-0.23035003114391847,-0.003246020357657642,-0.7105803384255901,1109.1575091575091,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661967.0,2025-08-15,15:35:05,1755239705649,2.174613530686094,-0.24664893108156366,-0.0033292099982544787,-0.7276466068340148,1835.897435897436,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668520.0,2025-08-15,15:35:05,1755239705707,2.1712466663057,-0.263320739806594,-0.003396637886215803,-0.7414793680517007,1567.7655677655678,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
