timestamp,date,time,time(ms),GSR,GSR_z,SCR,SCR_z,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open,Left_eye_h,Right_eye_h,Left_brow_h1,Right_brow_h1,Left_brow_h2,Right_brow_h2,Between_brows,Left_chin_length,Right_chin_length,Mouth_width,Mouth_inner_height,Mouth_outer_height
6837738.0,2025-08-08,15:51:16:837,1754635876837,3.999948947684139,-1.5808425760773666,0.0,0.0,0.0,0.28339818,0.03514517,0.28162625,0.0045202626,0.12844296,0.15950239,0.10736478,Angry,320.0,156.0,389.0,156.0,1.0,1.0,7.071067811865476,7.0,18.43908891458577,19.209372712298546,26.570660511172846,27.73084924772409,20.0,38.05259518088089,52.03844732503075,50.0,1.0,25.0
6844291.0,2025-08-08,15:51:17:216,1754635877216,3.989445098472516,0.7186928558509852,0.0008249523167727091,0.20495939285840686,0.0,0.2902794,0.03966176,0.30758148,0.0068966667,0.093220375,0.13383912,0.12852119,Fear,316.0,155.0,390.0,153.0,1.0,0.0,6.082762530298219,6.0,18.384776310850235,19.1049731745428,26.68332812825267,28.231188426986208,28.0178514522438,37.12142238654117,51.0098029794274,51.0,2.0,25.0
6850844.0,2025-08-08,15:51:17:325,1754635877325,3.9902700507892885,0.7208479847709177,0.000753455343185605,0.1939553503195197,0.0,0.29128197,0.040186413,0.31791943,0.008002034,0.080382764,0.12165422,0.14057326,Fear,317.0,156.0,389.0,154.0,0.0,0.0,5.0,6.0,19.1049731745428,18.384776310850235,25.0,27.31300056749533,26.0768096208106,36.05551275463989,53.009433122794285,51.0098029794274,0.0,25.019992006393608
6857397.0,2025-08-08,15:51:17:435,1754635877435,3.990952009158887,0.7226295522320061,0.0006090160959066893,0.17172482024812213,0.0,0.29436526,0.03853884,0.28036517,0.0059084664,0.12356776,0.16843343,0.08882117,Angry,315.0,157.0,383.0,155.0,1.0,1.0,7.071067811865476,7.071067811865476,19.79898987322333,19.79898987322333,29.61418578992169,29.546573405388315,22.0,36.05551275463989,53.0,49.0,1.4142135623730951,24.020824298928627
6863950.0,2025-08-08,15:51:17:584,1754635877584,3.991488082981102,0.7240300067479637,0.0004634948908797121,0.14932776691724084,0.0,0.27944717,0.0351401,0.27370477,0.0063671246,0.13926736,0.17707802,0.08899552,Angry,313.0,156.0,384.0,153.0,0.0,0.0,6.082762530298219,5.0,19.1049731745428,19.1049731745428,29.120439557122072,29.068883707497267,22.0,35.05709628591621,53.009433122794285,49.0,1.0,25.0
6870503.0,2025-08-08,15:51:17:781,1754635877781,3.9918789989406465,0.7250512467306254,0.0003169576298616139,0.12677433321405518,351.64835164835165,0.2859201,0.036294233,0.28231484,0.0054162713,0.127454,0.16411182,0.09848872,Angry,311.0,156.0,386.0,151.0,1.0,1.0,10.04987562112089,10.04987562112089,17.69180601295413,18.43908891458577,31.400636936215164,32.31098884280702,27.073972741361768,35.12833614050059,55.0,49.01020301937138,2.23606797749979,25.019992006393608
6877056.0,2025-08-08,15:51:17:982,1754635877982,3.992121998240825,0.7256860650209566,0.00016707454270115107,0.10370594606107846,1070.3296703296703,0.29079962,0.036751103,0.27659974,0.005426169,0.13079382,0.17235859,0.08727096,Angry,309.0,156.0,383.0,150.0,1.0,1.0,9.055385138137416,10.0,16.97056274847714,18.384776310850235,31.400636936215164,30.083217912982647,26.019223662515376,34.058772731852805,54.00925846556311,50.039984012787215,1.0,25.019992006393608
6883609.0,2025-08-08,15:51:18:201,1754635878201,3.9922131480260488,0.725924187315042,1.3258599951937455e-05,0.08003225622147556,1321.6117216117216,0.3059689,0.040347606,0.26819497,0.006372046,0.1278114,0.1853913,0.065913774,Angry,311.0,157.0,383.0,154.0,1.0,1.0,7.071067811865476,7.0,18.384776310850235,19.1049731745428,31.575306807693888,32.69556544854363,24.020824298928627,33.0,53.009433122794285,50.00999900019995,1.0,23.021728866442675
6890162.0,2025-08-08,15:51:18:383,1754635878383,3.992148515440729,0.7257553393089687,-0.00014449019838558286,0.055753263695314845,1547.2527472527472,0.29674658,0.039702017,0.28229812,0.006947284,0.12033424,0.16922127,0.08475047,Angry,308.0,157.0,383.0,151.0,1.0,1.0,10.04987562112089,11.0,19.209372712298546,19.79898987322333,33.37663853655727,32.31098884280702,27.018512172212592,33.06055050963308,56.00892785976178,50.00999900019995,0.0,24.08318915758459
6896715.0,2025-08-08,15:51:18:648,1754635878648,3.9919241676292776,0.7251692466988238,-0.00030617185231140986,0.030868968482596317,1386.8131868131868,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6903268.0,2025-08-08,15:51:18:812,1754635878812,3.991536171736106,0.7241556351806939,-0.00047178636182554357,0.00537937058331998,1219.047619047619,0.30932787,0.042631947,0.29526675,0.005927353,0.10036894,0.15000758,0.0964696,Angry,306.0,157.0,381.0,153.0,1.0,1.0,9.055385138137416,9.055385138137416,17.69180601295413,17.69180601295413,29.27456233660889,28.792360097775937,29.017236257093817,32.0,56.00892785976178,51.0,2.0,24.08318915758459
6909821.0,2025-08-08,15:51:19:056,1754635879056,3.9909805949056265,0.7227042304506662,-0.000641333726928428,-0.02071553000258252,1106.227106227106,0.278777,0.037209805,0.30563846,0.00666521,0.10119321,0.13638662,0.13412978,Fear,306.0,156.0,379.0,150.0,1.0,1.0,13.038404810405298,12.0,16.97056274847714,17.69180601295413,30.265491900843116,30.083217912982647,26.0768096208106,32.0,56.0,49.01020301937138,1.0,24.020824298928627
6916374.0,2025-08-08,15:51:19:237,1754635879237,3.9902535042822493,0.7208047582048254,-0.0008148139476198413,-0.047415733275077004,1635.8974358974358,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6922927.0,2025-08-08,15:51:19:441,1754635879441,3.989350967010387,0.7184469441392595,-0.000992227023898895,-0.07472123923402678,1516.4835164835165,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6929480.0,2025-08-08,15:51:19:663,1754635879663,3.9882690502344516,0.7156205139500578,-0.0011735729557664776,-0.10263204787956855,1291.5750915750914,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6936033.0,2025-08-08,15:51:19:828,1754635879828,3.987003821098854,0.7123151933333038,-0.001358851743223255,-0.1311481592118048,1191.941391941392,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6942586.0,2025-08-08,15:51:20:087,1754635880087,3.985551346748005,0.7085207079850835,-0.001548063386268339,-0.1602695732305989,1142.124542124542,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6949139.0,2025-08-08,15:51:20:238,1754635880238,3.983907694326317,0.7042267836014848,-0.0017405629552729174,-0.18989702932792807,1659.3406593406592,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6955692.0,2025-08-08,15:51:20:461,1754635880461,3.982070220837459,0.6994265155436424,-0.0019329422136411534,-0.21950596851057164,1526.007326007326,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6962245.0,2025-08-08,15:51:20:679,1754635880679,3.980041809899035,0.6941274370562853,-0.0021208190685686468,-0.2484219463480919,1289.3772893772891,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6968798.0,2025-08-08,15:51:20:831,1754635880831,3.977828582700322,0.6883455393085618,-0.0023014277446682385,-0.27621928454270434,1185.3479853479853,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6975351.0,2025-08-08,15:51:21:049,1754635881049,3.9754389544096984,0.6821028063259348,-0.0024733601837456654,-0.30268126997370565,1266.6666666666663,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6981904.0,2025-08-08,15:51:21:237,1754635881237,3.9728818623328306,0.6754225861801848,-0.0026363002033362726,-0.3277592392485556,1602.197802197802,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6988457.0,2025-08-08,15:51:21:436,1754635881436,3.970166354003026,0.668328514904921,-0.002790036078601954,-0.3514206059652266,1438.095238095238,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6995010.0,2025-08-08,15:51:21:669,1754635881669,3.9673017901756267,0.6608450468039138,-0.0029345305882577666,-0.37365964142525343,1268.8644688644688,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7001563.0,2025-08-08,15:51:21:840,1754635881840,3.9642972928265103,0.6529960123866614,-0.003070005457456837,-0.3945104711712224,1189.0109890109889,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7008116.0,2025-08-08,15:51:22:025,1754635882025,3.961161779260713,0.6448047074747287,-0.0031967719422913987,-0.41402100038159895,1619.047619047619,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7014669.0,2025-08-08,15:51:22:243,1754635882243,3.9579037489419275,0.6362933363090593,-0.0033149737847808503,-0.432213352276664,1467.3992673992673,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7021222.0,2025-08-08,15:51:22:413,1754635882413,3.9545318316911513,0.6274844436797301,-0.003424514497253117,-0.44907267651528116,1298.168498168498,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7027775.0,2025-08-08,15:51:22:666,1754635882666,3.9510547199474213,0.6184007379619679,-0.0035253627706883783,-0.4645941543510242,1203.6630036630036,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7034328.0,2025-08-08,15:51:22:823,1754635882823,3.9474811061497745,0.6090649275309995,-0.003617518605087078,-0.4787777857839614,1268.8644688644688,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
